Household income,Home Ownership,Count of household members,Household in urban/rural area,population density,Price of Gasoline Affects Travel,Travel is a Financial Burden,Age,Gender,Educational Attainment,More than One Job,Job Category,Count of Car Share Program Usage,Trip Time to Work in Minutes,Best estimate of annual miles,Count of household vehicles,count of children in household,Relationship,Full-Time or Part-Time Worker,Count of Walk Trips,Count of Bike Trips,Level of Physical Activity,Count of adult household members,Public Transportation or Taxi, Passenger to Friend/Family Member or Rental Car, Bicycle or Walk,Race African,Race Asian,Race American Indian,Race Native Hawaiian,Multiple Response Race
9,1,4,1,2,4,3,44,1,5,2,4,0,5,11198.995837566,2,0,1,1,2,0,2,2,4,3,4,0,0,0,0,0
5,2,1,2,2,5,2,22,0,4,1,1,0,14,7301.38527958524,1,0,1,1,0,0,3,1,4,3,4,0,0,0,0,0
7,2,2,1,5,5,5,26,1,4,2,4,0,5,8191.80718808948,2,0,1,1,4,0,3,2,4,4,4,0,0,0,0,0
5,1,1,1,5,4,4,29,1,4,2,1,0,6,2782.75699423917,1,0,1,1,7,0,2,1,2,3,4,0,0,0,0,0
7,1,3,2,2,4,2,33,0,2,2,1,0,90,36036.2107440848,2,1,2,1,2,0,1,2,2,1,4,0,0,0,0,0
9,1,2,1,6,3,3,56,0,4,2,4,0,15,10691.6056619437,3,0,2,1,4,0,2,2,3,3,3,0,0,0,0,0
10,1,2,1,4,5,1,47,1,4,2,4,0,20,18983.9610133722,3,0,2,1,5,0,3,2,3,3,2,0,0,0,0,0
6,1,5,1,3,1,2,21,1,3,1,4,0,10,17941.5616559782,3,1,3,1,15,0,2,3,1,1,4,0,0,0,0,0
6,1,3,1,5,3,3,46,1,3,1,4,0,10,5183.61568886087,3,0,1,1,0,0,2,3,3,1,2,0,0,0,0,0
11,1,2,2,2,5,5,70,0,5,2,4,0,7,14423.8737623712,2,0,1,1,18,0,3,2,4,4,4,0,0,0,0,0
3,1,1,1,6,3,3,69,1,3,1,2,0,20,5786.78555240657,1,0,1,2,5,0,2,1,4,1,4,0,0,0,0,0
5,1,1,2,1,1,2,58,1,3,2,2,0,60,20640.270921703,1,0,1,1,2,0,2,1,1,1,4,0,0,0,0,0
6,1,1,1,5,5,5,65,1,4,2,2,0,45,13160.305188025,1,0,1,1,2,0,2,1,1,4,2,0,0,0,0,0
7,1,2,1,6,2,4,53,1,4,2,4,0,16,4802.79170133304,1,0,1,1,0,0,2,2,3,3,4,0,0,0,0,0
11,1,6,1,7,1,2,24,0,4,2,4,0,30,16937.0397646384,4,0,7,1,5,0,2,5,2,1,4,0,1,0,0,0
4,2,4,2,1,1,3,28,0,2,2,4,0,30,6571.01086000285,2,1,1,1,50,0,3,2,4,1,4,0,0,0,0,0
8,1,3,1,6,3,3,26,1,2,1,1,0,50,20854.7660929817,3,0,3,2,0,0,2,3,4,4,4,0,0,0,0,1
5,1,2,1,6,2,3,60,1,2,2,2,0,7,4883.35216769049,2,0,1,1,0,0,2,2,4,4,4,0,0,0,0,0
8,1,2,1,1,2,2,29,0,3,2,4,0,28,18318.3411715423,3,0,2,1,3,0,3,2,3,1,2,0,0,0,0,0
4,1,2,1,2,1,1,61,1,2,2,2,0,4,8908.92184546675,1,0,1,2,0,0,2,2,4,1,2,0,0,0,0,0
7,1,2,1,5,2,3,37,1,3,2,1,0,120,23259.3250700858,2,0,2,1,0,0,2,2,3,3,2,0,0,0,0,0
7,1,2,2,2,4,4,46,0,2,2,1,0,2,9955.85835683786,3,0,1,1,75,0,3,2,4,4,4,0,0,0,0,0
7,1,1,1,4,2,4,61,1,4,2,4,0,20,19937.6719591958,1,0,1,1,4,0,2,1,1,1,3,0,0,0,0,0
8,1,2,2,2,1,2,45,1,4,2,4,0,45,17272.2421755838,2,0,1,1,3,0,2,2,4,2,4,0,0,0,0,0
9,1,2,1,4,2,3,53,0,5,2,4,0,25,6155.04191615701,3,0,2,1,30,0,2,2,4,1,4,0,0,0,0,0
7,1,4,1,6,4,4,35,0,5,2,4,0,22,21458.9694342039,3,2,1,1,10,0,2,2,4,4,4,0,0,0,0,0
6,1,2,1,6,4,3,76,1,4,2,4,0,15,6820.52976343827,2,0,1,2,0,0,2,2,4,1,2,0,0,0,0,0
8,1,2,1,4,3,3,58,1,5,1,4,0,15,3949.84974427351,3,0,1,2,8,0,2,2,4,4,4,0,0,0,0,0
10,1,3,1,4,2,2,34,1,4,2,4,0,30,5794.26579367978,3,1,1,1,10,0,1,2,4,1,4,0,0,0,0,1
6,1,1,1,5,1,3,59,1,4,2,1,0,30,14827.4427306223,2,0,1,1,4,0,2,1,1,1,4,0,0,0,0,0
7,1,2,1,5,3,2,65,0,2,2,3,0,30,23744.4535993389,2,0,2,1,4,0,3,2,4,1,4,0,0,0,0,0
7,1,1,1,3,2,3,64,1,4,2,2,0,10,10488.1238287891,1,0,1,1,0,0,1,1,4,3,2,0,0,0,0,0
11,1,6,1,5,4,2,48,0,5,2,4,0,50,22876.0836605098,3,0,1,1,0,0,2,3,2,1,4,0,1,0,0,0
4,2,1,1,3,4,4,26,1,4,1,4,0,20,29852.726607848,1,0,1,1,15,0,3,1,4,3,4,0,0,0,0,0
4,2,2,1,5,2,4,31,0,2,1,4,0,10,16392.2959538108,1,0,1,1,0,0,1,2,4,1,2,0,0,0,0,0
5,1,1,1,6,3,3,65,1,3,2,1,0,15,20881.4302049814,1,0,1,1,5,0,2,1,3,1,2,0,0,0,0,0
4,2,2,1,4,2,2,33,1,4,2,1,0,59,30762.3123061429,2,0,2,1,21,0,2,2,4,1,4,0,0,0,0,0
9,1,2,1,4,5,5,63,0,5,2,4,0,5,8503.46957414217,2,0,1,1,4,3,3,2,4,4,2,0,0,0,0,0
10,1,4,1,7,5,2,38,1,5,2,4,0,45,11007.9388067825,2,2,1,2,3,0,1,2,3,1,3,0,0,0,0,0
6,2,1,1,7,1,1,62,0,3,2,4,0,50,10293.8775981634,2,0,1,1,0,2,3,1,4,3,2,0,0,0,0,0
10,1,2,2,2,5,4,49,1,5,2,4,0,16,10901.5523676219,2,0,2,1,3,0,2,2,4,3,4,0,0,0,0,0
8,1,2,1,4,2,2,46,1,2,2,2,0,55,20636.4913561122,4,0,1,1,7,0,2,2,2,1,4,0,0,0,0,0
7,1,2,2,1,1,1,53,0,2,2,4,0,10,6631.72162017638,3,0,1,1,7,0,3,2,4,1,2,0,0,0,0,0
8,1,2,1,5,3,4,30,0,4,2,4,1,20,2644.05080368145,2,0,1,1,7,0,2,2,2,1,3,0,0,0,0,0
4,1,2,1,6,3,3,61,1,2,2,4,0,20,788.948052761736,2,0,1,1,7,0,2,2,3,1,4,0,0,0,0,0
7,1,3,1,4,4,4,52,1,4,2,1,0,5,3698.16856950059,4,0,1,2,7,0,3,3,2,1,4,0,0,0,0,0
6,1,3,2,1,2,2,48,1,3,2,1,0,25,16019.9415040644,3,0,1,1,7,0,2,2,4,4,4,0,0,1,0,0
6,1,2,2,1,1,1,47,0,3,1,4,0,2,11804.1175281263,2,0,1,1,5,0,3,2,4,1,4,0,0,0,0,0
8,1,2,2,1,3,3,64,1,5,2,4,0,15,10369.4151049922,2,0,2,1,10,0,2,2,4,2,4,0,0,0,0,0
9,2,3,1,7,2,2,36,0,4,2,4,0,35,8019.27272727273,1,1,1,1,20,7,3,2,3,3,3,0,0,0,0,0
8,1,3,1,6,3,2,49,1,4,2,4,0,47,19920.1404086083,2,0,1,1,3,0,2,2,4,4,4,0,0,0,0,1
8,1,4,2,2,2,1,42,1,3,2,2,0,15,9987.5815485957,2,0,1,1,10,0,2,2,2,3,4,0,0,0,0,0
8,2,1,1,6,5,3,48,1,3,1,4,0,11,11982.4661023925,2,0,1,1,1,0,3,1,4,1,2,0,0,0,0,0
9,1,3,1,5,3,2,71,0,5,2,4,0,30,14085.7245068391,3,0,1,1,20,0,2,3,3,1,4,0,0,0,0,0
6,1,1,1,3,5,5,54,1,5,2,4,0,20,5010.67275585362,1,0,1,1,5,0,2,1,1,4,4,0,0,0,0,0
11,1,4,1,3,5,4,40,0,5,2,4,0,20,8158.74937840131,2,1,1,1,3,0,3,2,2,1,4,0,0,0,0,0
3,1,2,1,3,3,3,59,0,2,2,3,0,15,29007.8329969719,2,0,2,1,0,0,2,2,4,1,2,0,0,0,0,0
7,1,2,2,3,2,5,21,0,3,2,1,0,10,11189.4661427634,3,0,3,1,0,0,1,2,4,1,4,0,0,0,0,0
8,1,4,1,4,2,4,40,0,3,2,4,0,60,16782.7346181291,3,0,2,1,3,0,3,3,1,4,4,1,0,0,0,0
6,1,3,1,4,2,3,48,1,3,2,1,0,22,6648.70657118611,4,0,2,1,3,0,2,3,4,4,4,0,0,0,0,0
7,1,2,1,3,1,2,66,0,5,1,4,0,10,14269.8004990819,2,0,1,1,2,1,2,2,4,4,4,0,0,0,0,0
3,2,1,1,7,1,1,63,1,3,2,1,0,25,2911.79691269711,1,0,1,2,7,0,3,1,3,4,4,0,0,0,0,0
8,1,4,1,3,5,2,53,0,4,2,4,0,20,9017.70373346399,3,1,1,1,0,0,2,2,1,2,4,0,0,0,0,0
7,2,2,1,6,5,2,35,0,5,2,1,0,2,7665.45695720398,2,0,1,1,2,0,1,2,4,4,4,0,1,0,0,0
11,1,3,1,5,3,3,59,0,4,2,4,0,20,11544.0,3,0,1,1,4,0,3,3,4,2,4,0,0,0,0,0
6,1,2,2,1,1,3,60,1,2,2,2,0,25,17370.2185650566,5,0,1,1,7,0,2,2,4,3,4,0,0,0,0,0
8,1,2,1,3,2,4,62,0,3,2,4,0,10,11417.9254490242,2,0,2,1,3,0,2,2,2,3,2,0,0,0,0,0
6,1,1,1,2,5,3,31,0,4,2,4,0,5,26576.8485193512,1,0,1,1,10,0,2,1,4,1,2,0,0,0,0,0
8,1,6,2,1,2,2,38,0,5,2,4,0,40,25214.47942463,5,1,2,1,4,0,3,2,4,1,4,0,0,0,0,0
6,1,1,2,4,2,3,61,1,3,2,2,0,20,18029.7061291827,1,0,1,1,1,0,2,1,2,3,4,0,0,0,0,0
11,1,3,1,4,5,4,54,1,5,2,4,0,35,5384.31236237118,5,0,1,1,21,0,2,3,3,2,4,0,0,0,0,0
6,1,3,2,2,1,1,22,0,3,2,2,0,25,2045.0,5,0,3,1,10,0,3,3,4,1,2,0,0,0,0,0
8,1,2,1,5,3,4,47,1,5,2,4,0,5,45663.0,3,0,2,1,4,0,3,2,4,1,4,0,0,0,0,0
10,1,2,2,1,5,4,57,1,3,2,2,0,30,16458.8702698373,3,0,1,1,7,0,2,2,4,1,4,0,0,0,0,0
7,1,2,1,6,2,2,29,1,4,2,1,0,40,14391.6175955832,2,0,1,1,4,0,2,2,4,1,4,0,0,0,0,0
8,1,3,2,1,5,5,38,1,4,2,4,0,7,20940.6854899487,4,0,1,1,4,0,2,2,4,3,4,0,0,0,0,0
8,1,3,2,2,3,3,37,1,5,2,4,0,45,12844.7698661598,3,0,1,2,35,0,2,2,4,4,4,0,0,0,0,0
8,1,5,1,4,3,3,46,1,4,2,4,0,40,7852.99486871049,5,0,1,2,0,0,3,3,2,4,4,0,0,0,0,0
6,2,1,1,6,5,5,60,1,3,2,1,0,20,96331.1678289989,1,0,1,1,2,0,3,1,4,4,3,0,0,0,1,0
11,1,2,2,2,5,5,62,1,2,2,4,0,6,19462.9493470209,2,0,1,2,2,0,2,2,4,1,4,0,0,0,0,0
5,1,4,2,1,2,3,44,1,4,2,4,0,55,28752.827754385,4,0,1,1,2,0,2,2,4,1,4,0,0,0,0,0
6,1,1,1,2,4,4,63,1,2,2,4,0,12,6260.73570884096,1,0,1,2,0,0,2,1,3,2,2,0,0,0,0,0
4,1,2,1,6,4,2,55,0,3,1,1,0,30,21627.5929702994,2,0,1,2,5,0,3,2,3,4,2,0,0,0,0,1
8,1,3,2,2,2,3,34,1,4,2,4,0,15,11236.4717276501,2,1,1,1,24,0,3,2,3,3,3,0,0,0,0,0
6,2,4,1,6,1,2,34,1,3,1,4,0,30,22695.4382799418,2,0,1,1,0,0,1,3,4,3,4,0,0,0,0,0
9,1,5,2,2,2,3,44,0,3,2,3,0,10,10712.0829750631,4,0,1,1,10,0,2,4,4,1,4,0,0,0,0,0
7,1,1,1,6,5,4,48,0,4,2,4,0,30,4707.09777653261,2,0,1,1,5,0,2,1,3,3,2,1,0,0,0,0
6,1,3,1,3,3,3,40,0,3,2,1,0,10,15060.771577727,2,0,1,2,4,5,2,2,2,4,3,0,0,0,0,0
8,1,3,1,1,2,4,60,0,5,2,4,0,6,18640.2625358436,3,0,2,1,7,0,3,2,1,1,3,0,0,0,0,0
8,1,2,1,4,3,3,54,1,3,2,4,0,20,18631.8988818814,2,0,1,1,7,0,2,2,4,4,4,0,0,0,0,0
6,1,2,1,7,4,5,30,0,3,2,4,0,15,19695.8012107752,3,0,1,1,20,0,2,2,2,1,4,0,1,0,0,0
7,1,2,1,3,2,3,25,0,4,2,1,0,30,30508.5923187287,2,0,2,1,4,0,3,2,3,3,4,1,0,0,0,0
11,1,4,2,1,3,4,47,0,3,2,4,0,60,25178.9787817205,5,0,2,1,0,0,3,2,4,3,4,0,0,0,0,0
10,1,2,1,5,4,3,47,0,5,2,4,0,60,11506.9147235756,2,0,1,1,5,0,2,2,1,2,4,0,0,0,0,0
6,1,1,1,6,2,3,62,0,4,2,2,0,8,14262.4612610185,1,0,1,1,7,4,2,1,1,4,1,0,0,0,0,0
5,1,1,1,7,1,1,45,1,4,2,1,0,25,29494.1528971609,1,0,1,1,6,0,2,1,1,2,3,0,0,0,0,0
2,2,3,1,8,1,2,44,1,3,2,3,0,35,18447.8219025341,2,0,2,1,0,0,3,2,1,4,2,1,0,0,0,0
5,1,4,2,2,3,2,44,1,4,2,4,0,15,200000.0,4,0,3,1,0,0,1,3,4,1,4,0,0,0,0,0
11,1,2,1,4,3,3,65,0,4,2,2,0,35,13786.3941065347,4,0,1,1,5,0,2,2,3,4,2,0,0,0,0,0
6,1,5,1,6,2,3,25,1,3,2,1,0,2,23883.6257047345,2,1,1,1,2,0,2,3,4,4,2,0,0,0,0,0
4,1,1,1,5,4,3,60,1,3,2,4,0,15,7513.55238128179,3,0,1,1,0,0,2,1,4,4,4,0,1,0,0,0
7,1,2,2,2,4,4,52,1,3,2,2,0,15,16959.920689299,4,0,1,1,7,0,2,2,4,3,4,0,0,0,0,0
11,1,2,1,4,5,5,61,1,4,2,1,0,6,19089.7455986892,3,0,1,1,7,0,2,2,1,1,2,0,0,0,0,0
7,1,4,1,7,1,2,34,1,4,2,4,0,40,1748.54486211565,2,1,1,1,5,0,3,2,4,1,4,0,0,0,0,0
6,1,3,1,5,4,2,28,0,4,2,3,0,30,15904.1523426297,2,1,1,1,4,0,2,2,2,1,4,0,0,0,0,0
7,1,4,1,3,2,3,33,1,5,2,4,0,25,10069.7650520407,2,0,2,1,4,2,2,2,4,4,4,0,0,0,0,0
11,1,2,1,5,4,4,62,0,4,2,4,0,10,7935.62127464335,3,0,2,1,3,0,2,2,4,4,4,0,0,0,0,0
4,2,3,2,1,1,2,62,1,3,2,3,0,20,7303.69293754305,3,0,1,2,7,0,2,3,4,1,2,1,0,0,0,0
7,1,4,2,1,2,4,28,1,3,2,1,0,25,47158.7919167878,3,2,2,1,2,0,2,2,4,1,4,0,0,0,0,0
6,2,7,1,6,4,4,46,0,3,2,1,0,20,136783.545258953,4,0,2,1,0,0,2,4,4,1,4,0,0,0,0,0
3,2,5,1,6,1,1,37,1,4,2,4,0,15,19543.2988256442,1,0,1,1,6,0,2,1,3,3,3,0,0,0,0,1
8,1,2,2,1,5,5,65,1,3,2,1,0,27,24814.9091365738,2,0,1,2,5,0,2,2,4,1,4,1,0,0,0,0
7,1,2,2,1,1,2,22,1,3,2,1,0,25,9573.88463259769,2,0,1,1,2,0,2,2,4,1,4,0,0,0,0,0
7,1,3,2,1,1,2,21,0,4,1,1,0,15,5633.23910997461,4,0,3,2,7,2,2,3,4,1,2,0,0,0,0,0
10,2,2,1,8,2,3,29,1,4,2,4,0,30,22939.4103028577,1,0,2,1,6,0,3,2,3,4,3,0,0,0,0,0
5,1,1,1,3,4,4,65,0,4,2,1,0,45,20042.9750844765,6,0,1,1,2,0,3,1,4,4,4,0,0,0,0,0
10,1,4,1,5,4,3,44,0,4,2,4,0,20,18405.7044807252,2,0,1,1,5,0,2,2,1,4,4,0,1,0,0,0
8,1,1,1,6,4,2,57,1,5,2,4,0,45,4648.77956540612,1,0,1,1,5,0,2,1,4,3,4,0,0,0,0,0
10,2,2,1,2,3,4,62,0,5,2,4,0,15,24258.7051896181,2,0,1,1,3,0,3,2,1,4,4,0,0,0,0,0
10,2,1,1,6,4,3,60,1,5,1,4,0,5,22148.4617862573,1,0,1,1,1,0,2,1,2,3,2,0,0,0,0,0
9,1,2,2,1,4,2,56,0,3,1,1,0,40,23634.8571428571,2,0,1,1,14,0,2,2,4,4,4,0,0,0,0,0
6,1,2,1,4,2,2,62,0,5,2,4,0,45,25051.1707175476,2,0,1,2,1,0,2,2,4,4,4,0,0,0,0,0
4,2,2,1,6,2,3,29,1,3,2,4,0,15,6014.19427505857,2,0,1,1,12,0,2,1,4,4,4,0,0,0,0,1
8,1,5,1,5,5,1,50,0,3,2,4,0,25,10225.8660466056,2,0,1,1,1,0,1,2,4,3,4,0,0,0,0,0
9,1,2,1,5,4,2,56,0,4,2,4,0,60,10000.0,2,0,1,1,5,0,2,2,4,3,3,0,0,0,0,0
10,1,6,1,5,4,4,44,0,5,2,1,0,17,32389.6093146371,3,0,1,1,1,0,3,2,2,3,2,0,0,0,0,0
11,1,3,1,5,4,2,32,1,5,2,4,0,65,10278.0987758,2,1,1,1,13,0,2,2,3,4,3,0,0,0,0,0
9,1,5,1,1,2,3,30,1,3,1,3,0,30,15386.296724054,4,1,3,2,0,0,3,4,4,4,4,0,0,0,0,0
8,1,3,1,6,5,3,38,1,4,2,4,0,15,12477.4326543593,2,1,2,1,0,0,1,2,2,1,4,0,0,0,0,0
9,1,3,2,2,4,4,22,0,5,2,1,0,15,22367.950581226,3,0,3,1,7,0,3,3,2,4,4,1,0,0,0,0
7,1,1,1,4,4,3,31,0,4,2,4,0,30,18455.4775995839,1,0,1,1,6,0,2,1,2,1,4,0,0,0,0,0
7,1,1,1,4,4,3,61,0,5,2,4,0,40,1761.13787131711,1,0,1,1,6,0,3,1,2,3,3,0,0,0,0,0
10,1,3,1,5,3,4,42,0,3,2,4,0,10,80.5242228086982,1,0,1,1,14,0,3,2,3,3,2,0,0,0,0,0
6,1,3,1,5,3,3,47,0,4,2,1,0,30,11677.0022955646,3,0,3,1,3,0,2,3,4,1,4,0,0,0,0,0
8,1,2,2,1,4,4,57,0,3,2,2,0,21,5942.52043836751,3,0,1,1,11,0,1,2,4,4,2,0,0,0,0,0
10,1,2,1,6,4,3,59,0,5,2,4,0,15,12288.0,2,0,1,1,1,0,3,2,3,1,3,0,0,0,0,0
4,2,4,1,6,1,2,51,0,2,2,3,0,35,16548.2851833677,3,0,2,2,0,0,3,4,1,4,4,0,0,0,0,0
8,1,4,1,3,1,5,46,0,5,2,4,0,35,27442.9369801073,4,0,2,1,7,0,2,3,3,3,3,0,0,0,0,0
7,1,5,1,1,5,5,26,0,4,2,4,0,20,7419.20857482615,6,0,3,1,7,0,2,5,2,4,4,0,0,0,0,0
8,1,3,2,2,2,3,51,1,3,2,4,0,20,9438.85580848021,7,0,2,1,0,0,2,3,4,4,4,0,0,0,0,0
5,1,1,1,5,4,4,66,0,5,1,4,0,5,12477.1203870574,3,0,1,1,10,7,2,1,4,4,2,0,0,0,0,0
10,1,4,1,6,5,5,41,0,4,2,4,0,10,16414.5325467858,3,0,1,1,0,0,3,2,4,1,3,0,0,0,0,0
